"sample_name","sample_id_PPR","unique_replicate_id","RUSH ID #","batch_id","sample_id","replicate_id","RUSH Project Batch Name","figure","Figure","George Figure number","experiment_type","sampling_device","bar_name","location","environment","extraction_method","control_type","environmental_sample","control_sample","dna_kit","microbial_type","sample_reads","bar_fill","bar_type_2","bar_type","bar_color","bar_axis_2","bar_axis","percent_recovery_dpcr","percent_recovery_qpcr","copies_original_dpcr_log10","copies_original_qpcr_log10","copies_rxn_dpcr_log10","copies_rxn_qpcr_log10","copies_original_dpcr","copies_original_qpcr","copies_rxn_dpcr","copies_rxn_qpcr","16s_rrna_copy_sample","16s_rrna_copy_rxn","cq_se_rxn","cq_sd_rxn","cq_mean_rxn","quantity_sd_ng_rxn","quantity_mean_sample","quantity_mean_ng_rxn","qpcr_volume_ul","dna_eluent_volume_ul","cell_count_estimate","cell_concentration","surface_area_cm2","processing_volume_ul","processing_solution","concentrated","sample_type","extraction_handling","sample_number","date","Total Copies in Orginal Sample (50uL) [dPCR copies*dil*50]","Total Copies in Undiluted Sample (1 µL) [Dil*dPCR Copies]","Final Dilution ","Digital Comments","Copies in Sample [dPCR]","Conversion factor","Total volume [¬µl]","Template volume [¬µl]","Volume per well [¬µl]","Threshold","Partitions (Negative)","Partitions (Positive)","Partitions (Valid)","CI (95%)","Conc. [cp/¬µL] (dPCR reaction)","Exp Type","Cell Count (Cells/50 ¬µL","Sample Description","DNA Qubit (ng/uL)","Project Name ID","Sequencing Name ID ","experiment","table_file","project_name"
"7_PCw_Ma_3","327_PPR_7_PCw_Ma_3_S269_L002","7-PCw-Ma-3","7-PCw-Ma-3","batch_7","7_PCw_Ma_3","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","saf_floor","mag_beads","positive_control","no","yes","maxwell","atcc",60781276,NA,NA,NA,NA,NA,NA,NA,NA,7.39794000867204,7.28465789299035,5.69960361185857,5.88671788431831,"25000000","19260071.409023244","500730","770402.85636092979","19260071.409023244","770402.85636092979","7.0227199999999996","12.1637","24.241900000000001","0.48917207537850566","13.992039351661239","0.55968157406644958",2,50,"823061.1383330141","2000000","NA",100,"pbs","yes","2.00E+6","automated",205,2023-12-13,"25000000","500730","50",NA,10014.6,6,12,2,2.889,14.75,4700,3583,8283,"3.3000000000000002E-2","1669.1",NA,"823061.14","Batch #7, Positive Control in PBS w/ Polyester Wipe, Maxwell, Sample #3","0.27979999999999999","327_PPR","327_PPR_7-PCw-Ma-3","PPR","Merged_Genus_raw_abund.csv","PPR"
"7_PCw_Ma_4","328_PPR_7_PCw_Ma_4_S270_L002","7-PCw-Ma-4","7-PCw-Ma-4","batch_7","7_PCw_Ma_4","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","saf_floor","mag_beads","positive_control","no","yes","maxwell","atcc",105210770,NA,NA,NA,NA,NA,NA,NA,NA,7.66838591669,8.12225942280164,5.96960226484854,6.7243194141296,"46600000","132513285.77627665","932400","5300531.4310510652","132513285.77627665","5300531.4310510652","2.1520000000000001E-2","3.7280000000000001E-2","14.714700000000001","8.778449535341655E-2","96.26813264726232","3.8507253058904927",2,50,"5662831.3321919013","2000000","NA",100,"water","yes","2.00E+6","automated",206,2023-12-13,"46600000","932400","400",NA,2331,6,12,2,2.889,14.75,7256,1023,8279,"6.0999999999999999E-2","388.5",NA,"5662831.3300000001","Batch #7, Positive Control in PBS w/ SALSA, Maxwell, Sample #4","1.9254","328_PPR","328_PPR_7-PCw-Ma-4","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRp_Ma_L1_1","329_PPR_9_245CRp_Ma_L1_1_S271_L002","9-245CRp-Ma-L1-1","9-245CRp-Ma-L1-1","batch_9","9_245CRp_Ma_L1_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"Loc_1","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",32993638,"gray1",NA,NA,NA,NA,NA,NA,NA,6.43296929087441,6.67199349472252,4.73463183791028,5.27405348605049,"2710000","4698870.7013525032","54279","187954.82805410013","4698870.7013525032","187954.82805410013","2.9187550450090853E-2","5.0554320328037208E-2","20.75255205926554","4.3258238731559229E-3","3.4136313602082615","0.13654525440833046",2,50,"200801.84471813304","NA","1000",100,"pbs","yes","NA","automated",233,2023-12-20,"2710000","54279","15",NA,3618.6,6,12,2,2.889,14.75,6672,1516,8188,"0.05","603.1",NA,"200801.84","Batch #9, 245 Clean Room, Polyester Wipe, Maxwell, Location #1, Sample #1","6.83E-2","329_PPR","329_PPR_9-245CRp-Ma-L1-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRp_Ma_L1_2","330_PPR_9_245CRp_Ma_L1_2_S272_L002","9-245CRp-Ma-L1-2","9-245CRp-Ma-L1-2","batch_9","9_245CRp_Ma_L1_2","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"Loc_1","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",23218410,"gray1",NA,NA,NA,NA,NA,NA,NA,6.20951501454263,6.39274525713633,4.51097908768593,4.9948052484643,"1620000","2470274.7380307061","32432.399999999998","98810.989521228243","2470274.7380307061","98810.989521228243","0.10763449039021272","0.1864284060026325","21.777038843694072","8.179976621681467E-3","1.7946029695272652","7.1784118781090603E-2",2,50,"105564.88056042737","NA","1000",100,"pbs","yes","NA","automated",234,2023-12-20,"1620000","32432.399999999998","7",NA,4633.2,6,12,2,2.889,14.75,6303,1889,8192,"4.4999999999999998E-2","772.2",NA,"105564.88","Batch #9, 245 Clean Room, Polyester Wipe, Maxwell, Location #1, Sample #2","3.5900000000000001E-2","330_PPR","330_PPR_9-245CRp-Ma-L1-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRp_Ma_L2_1","331_PPR_9_245CRp_Ma_L2_1_S273_L002","9-245CRp-Ma-L2-1","9-245CRp-Ma-L2-1","batch_9","9_245CRp_Ma_L2_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"Loc_2","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",23721152,"gray1",NA,NA,NA,NA,NA,NA,NA,5.54777470538782,5.86340761274298,3.84922280036729,4.46546760407095,"353000","730142.47349282284","7066.8","29205.698939712911","730142.47349282284","29205.698939712911","4.3157022929119888E-2","7.4750156416650657E-2","23.700495992958981","1.0109400212080638E-3","0.53043324733700725","2.121732989348029E-2",2,50,"31201.95572570631","NA","1000",100,"pbs","yes","NA","automated",235,2023-12-20,"353000","7066.8","2",NA,3533.4,6,12,2,2.889,14.75,6755,1495,8250,"5.0999999999999997E-2","588.9",NA,"31201.96","Batch #9, 245 Clean Room, Polyester Wipe, Maxwell, Location #2, Sample #1","1.06E-2","331_PPR","331_PPR_9-245CRp-Ma-L2-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRp_Ma_L2_2","332_PPR_9_245CRp_Ma_L2_2_S274_L002","9-245CRp-Ma-L2-2","9-245CRp-Ma-L2-2","batch_9","9_245CRp_Ma_L2_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"Loc_2","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",31575466,"gray1",NA,NA,NA,NA,NA,NA,NA,5.8481891169914,6.13396409191704,4.14892332208927,4.736024083245,"705000","1361332.1209444851","14090.4","54453.2848377794","1361332.1209444851","54453.2848377794","2.7175774352310979E-2","4.7069821913229809E-2","22.713602781219162","1.1850201712803349E-3","0.9889793346255138","3.9559173385020553E-2",2,50,"58175.254977971403","NA","1000",100,"pbs","yes","NA","automated",236,2023-12-20,"705000","14090.4","4",NA,3522.6,6,12,2,2.889,14.75,6765,1492,8257,"5.0999999999999997E-2","587.1",NA,"58175.25","Batch #9, 245 Clean Room, Polyester Wipe, Maxwell, Location #2, Sample #2","1.9800000000000002E-2","332_PPR","332_PPR_9-245CRp-Ma-L2-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRp_Ma_L3_1","333_PPR_9_245CRp_Ma_L3_1_S275_L002","9-245CRp-Ma-L3-1","9-245CRp-Ma-L3-1","batch_9","9_245CRp_Ma_L3_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"Loc_3","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",31665270,"gray1",NA,NA,NA,NA,NA,NA,NA,5.6730209071289,6.0039669097672,3.97402323984297,4.60602690109516,"471000","1009175.990923538","9419.4000000000015","40367.039636941518","1009175.990923538","40367.039636941518","7.6289171047140128E-2","0.13213672032095927","23.190616229610015","2.4137643014473542E-3","0.7331452660730281","2.9325810642921123E-2",2,50,"43126.192121942833","NA","1000",100,"pbs","yes","NA","automated",237,2023-12-20,"471000","9419.4000000000015","3",NA,3139.8,6,12,2,2.889,14.75,6898,1341,8239,"5.3999999999999999E-2","523.29999999999995",NA,"43126.19","Batch #9, 245 Clean Room, Polyester Wipe, Maxwell, Location #3, Sample #1","1.47E-2","333_PPR","333_PPR_9-245CRp-Ma-L3-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRp_Ma_L3_2","334_PPR_9_245CRp_Ma_L3_2_S276_L002","9-245CRp-Ma-L3-2","9-245CRp-Ma-L3-2","batch_9","9_245CRp_Ma_L3_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"Loc_3","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",23595616,"gray1",NA,NA,NA,NA,NA,NA,NA,5.46089784275655,5.84381364825029,3.76231837753063,4.44587363957825,"289000","697932.86327329103","5785.2","27917.314530931646","697932.86327329103","27917.314530931646","8.1824530590270755E-2","0.14172424428782276","23.775025377041317","1.856167990563507E-3","0.50703363867915896","2.0281345547166357E-2",2,50,"29825.508157597586","NA","1000",100,"pbs","yes","NA","automated",238,2023-12-20,"289000","5785.2","2",NA,2892.6,6,12,2,2.889,14.75,7012,1247,8259,"5.6000000000000001E-2","482.1",NA,"29825.51","Batch #9, 245 Clean Room, Polyester Wipe, Maxwell, Location #3, Sample #2","1.01E-2","334_PPR","334_PPR_9-245CRp-Ma-L3-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRs_Ma_L1_1","335_PPR_9_245CRs_Ma_L1_1_S277_L002","9-245CRs-Ma-L1-1","9-245CRs-Ma-L1-1","batch_9","9_245CRs_Ma_L1_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","SALSA",NA,"Loc_1","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",9862482,"gray3",NA,NA,NA,NA,NA,NA,NA,5.33845649360461,5.63978417575851,3.64028262969668,4.24184416708647,"218000","436298.95798313979","4368","17451.958319325589","436298.95798313979","17451.958319325589","2.8989138254164756E-2","5.0210660323851894E-2","24.514951707595589","4.0340967670276877E-4","0.3169620745190414","1.2678482980761656E-2",2,50,"18644.82791288479","NA","1000",100,"pbs","yes","NA","automated",239,2023-12-20,"218000","4368","1",NA,4368,6,12,2,2.889,14.75,6424,1801,8225,"4.5999999999999999E-2","728",NA,"18644.830000000002","Batch #9, 245 Clean Room, SALSA, Maxwell, Location #1, Sample #1","6.3E-3","335_PPR","335_PPR_9-245CRs-Ma-L1-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRs_Ma_L1_2","336_PPR_9_245CRs_Ma_L1_2_S278_L002","9-245CRs-Ma-L1-2","9-245CRs-Ma-L1-2","batch_9","9_245CRs_Ma_L1_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","SALSA",NA,"Loc_1","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",10275910,"gray3",NA,NA,NA,NA,NA,NA,NA,5.60097289568675,5.58868502217162,3.90161086982698,4.19074501349959,"399000","387868.95685403817","7972.8","15514.758274161524","387868.95685403817","15514.758274161524","3.9755809060310683E-2","6.8859081188465204E-2","24.701679228605958","4.9370144314121462E-4","0.28177869086440344","1.1271147634576137E-2",2,50,"16575.21710967079","NA","1000",100,"pbs","yes","NA","automated",240,2023-12-20,"399000","7972.8","1",NA,7972.8,6,12,2,2.889,14.75,5217,2974,8191,"3.5999999999999997E-2","1328.8",NA,"16575.22","Batch #9, 245 Clean Room, SALSA, Maxwell, Location #1, Sample #2","5.5999999999999999E-3","336_PPR","336_PPR_9-245CRs-Ma-L1-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRs_Ma_L2_1","337_PPR_9_245CRs_Ma_L2_1_S279_L002","9-245CRs-Ma-L2-1","9-245CRs-Ma-L2-1","batch_9","9_245CRs_Ma_L2_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","SALSA",NA,"Loc_2","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",11538800,"gray3",NA,NA,NA,NA,NA,NA,NA,5.14921911265538,5.34983226008283,3.45163294745699,3.95189225141079,"141000","223785.66321027611","2829","8951.4265284110425","223785.66321027611","8951.4265284110425","0.64407485248715135","1.1155703683851759","25.791913169407241","3.4771723712189715E-3","0.16257560730064749","6.5030242920258996E-3",2,50,"9563.2710176851469","NA","1000",100,"pbs","yes","NA","automated",241,2023-12-20,"141000","2829","1",NA,2829,6,12,2,2.889,14.75,7045,1223,8268,"5.6000000000000001E-2","471.5",NA,"9563.27","Batch #9, 245 Clean Room, SALSA, Maxwell, Location #2, Sample #1","3.3E-3","337_PPR","337_PPR_9-245CRs-Ma-L2-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRs_Ma_L2_2","338_PPR_9_245CRs_Ma_L2_2_S280_L002","9-245CRs-Ma-L2-2","9-245CRs-Ma-L2-2","batch_9","9_245CRs_Ma_L2_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","SALSA",NA,"Loc_2","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",9596408,"gray3",NA,NA,NA,NA,NA,NA,NA,4.96661098668193,5.11786520455667,3.26768787986574,3.71992519588463,"92600","131179.26842657852","1852.2","5247.1707370631411","131179.26842657852","5247.1707370631411","0.49071606694077596","0.84994516003179421","26.551094696328306","1.6783220436452015E-3","9.5298996923080637E-2","3.8119598769232252E-3",2,50,"5605.8233484165085","NA","1000",100,"pbs","yes","NA","automated",242,2023-12-20,"92600","1852.2","1",NA,1852.2,6,12,2,2.889,14.75,7440,822,8262,"6.8000000000000005E-2","308.7",NA,"5605.82","Batch #9, 245 Clean Room, SALSA, Maxwell, Location #2, Sample #2","1.9E-3","338_PPR","338_PPR_9-245CRs-Ma-L2-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRs_Ma_L3_1","339_PPR_9_245CRs_Ma_L3_1_S281_L002","9-245CRs-Ma-L3-1","9-245CRs-Ma-L3-1","batch_9","9_245CRs_Ma_L3_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","SALSA",NA,"Loc_3","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",3683736,"gray3",NA,NA,NA,NA,NA,NA,NA,4.14921911265538,4.47943078817306,2.44947839918736,3.08149077950102,"14100","30159.96187247464","281.5","1206.3984748989858","30159.96187247464","1206.3984748989858","4.5733318686461313E-2","7.9212431563690136E-2","28.745238885721125","4.4341529155218593E-5","2.1910581970457452E-2","8.7642327881829807E-4",2,50,"1288.8577629680854","NA","1000",100,"pbs","yes","NA","automated",243,2023-12-20,"14100","281.5","1",NA,281.5,6,12,2,2.889,14.75,8096,130,8226,"0.17199999999999999","46.9",NA,"1288.8599999999999","Batch #9, 245 Clean Room, SALSA, Maxwell, Location #3, Sample #1","4.0000000000000002E-4","339_PPR","339_PPR_9-245CRs-Ma-L3-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_245CRs_Ma_L3_2","340_PPR_9_245CRs_Ma_L3_2_S282_L002","9-245CRs-Ma-L3-2","9-245CRs-Ma-L3-2","batch_9","9_245CRs_Ma_L3_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","SALSA",NA,"Loc_3","molec_cleanroom","mag_beads","sample","yes","no","maxwell","NA",5640342,"gray3",NA,NA,NA,NA,NA,NA,NA,4.32221929473392,4.70425441958061,2.62345604806993,3.30631441090857,"21000","50612.107240286721","420.2","2024.4842896114685","50612.107240286721","2024.4842896114685","5.7566054762022444E-2","9.9707331639115188E-2","27.92654150318408","9.4111493553631132E-5","3.6768638139359024E-2","1.470745525574361E-3",2,50,"2162.8610670211192","NA","1000",100,"pbs","yes","NA","automated",244,2023-12-20,"21000","420.2","1",NA,420.2,6,12,2,2.889,14.75,8062,194,8256,"0.14099999999999999","70",NA,"2162.86","Batch #9, 245 Clean Room, SALSA, Maxwell, Location #3, Sample #2","6.9999999999999999E-4","340_PPR","340_PPR_9-245CRs-Ma-L3-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_NCp_Ma_1","341_PPR_9_NCp_Ma_1_S283_L002","9-NCp-Ma-1","9-NCp-Ma-1","batch_9","9_NCp_Ma_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"NA","molec_cleanroom","mag_beads","sampling_collection_device_control","no","yes","maxwell","NA",768,"gray1",NA,NA,NA,NA,NA,NA,NA,2.02938377768521,3.17493441802498,0.322219294733919,1.77699440935295,"107","1496.0097294825146","2.1","59.840389179300587","1496.0097294825146","59.840389179300587","0.78148426099593959","1.3535704453603843","33.911550843462145","3.9536218656877288E-5","1.0868198025257988E-3","4.3472792101031955E-5",2,50,"63.930576619164633","NA","NA",100,"pbs","yes","NA","automated",245,2023-12-20,"107","2.1","1",NA,2.1,6,12,2,2.889,14.75,8257,1,8258,"1.4750000000000001","0.4",NA,"63.93","Batch #9, Negative Control, Polyester Wipe, Maxwell, #1","0","341_PPR","341_PPR_9-NCp-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_NCp_Ma_2","342_PPR_9_NCp_Ma_2_S284_L002","9-NCp-Ma-2","9-NCp-Ma-2","batch_9","9_NCp_Ma_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"NA","molec_cleanroom","mag_beads","sampling_collection_device_control","no","yes","maxwell","NA",600,"gray1",NA,NA,NA,NA,NA,NA,NA,0,3.11453940818406,0,1.71659939951202,"0","1301.7854351379888","0","52.071417405519554","1301.7854351379888","52.071417405519554","0.82990090323905974","1.437430529657354","34.181514169904808","3.6102607812021289E-5","9.4571991188655328E-4","3.7828796475462133E-5",2,50,"55.630583052150193","NA","NA",100,"pbs","yes","NA","automated",246,2023-12-20,"0","0","1",NA,0,6,12,2,2.889,14.75,8277,0,8277,"-","0",NA,"55.63","Batch #9, Negative Control, Polyester Wipe, Maxwell, #2","0","342_PPR","342_PPR_9-NCp-Ma-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_NCs_Ma_1","343_PPR_9_NCs_Ma_1_S285_L002","9-NCs-Ma-1","9-NCs-Ma-1","batch_9","9_NCs_Ma_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","SALSA",NA,"NA","molec_cleanroom","mag_beads","sampling_collection_device_control","no","yes","maxwell","NA",198,"gray3",NA,NA,NA,NA,NA,NA,NA,2.03342375548695,NA,0.342422680822206,NA,"108","NA","2.2000000000000002","NA","NA","NA","1.329948758059341","1.8808315709087742","36.088620751710799","NA","NA","NA",2,50,"NA","NA","NA",100,"pbs","yes","NA","automated",247,2023-12-20,"108","2.2000000000000002","1",NA,2.2,6,12,2,2.889,14.75,8214,1,8215,"1.4750000000000001","0.4",NA,NA,"Batch #9, Negative Control, SALSA, Maxwell, #1","Undetermined","343_PPR","343_PPR_9-NCs-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_NCs_Ma_2","344_PPR_9_NCs_Ma_2_S286_L002","9-NCs-Ma-2","9-NCs-Ma-2","batch_9","9_NCs_Ma_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","SALSA",NA,"NA","molec_cleanroom","mag_beads","sampling_collection_device_control","no","yes","maxwell","NA",68,"gray3",NA,NA,NA,NA,NA,NA,NA,0,2.51085523207374,0,1.1129152234017,"0","324.23151984684182","0","12.969260793873671","324.23151984684182","12.969260793873671","0.65018412014389926","1.1261519303637006","36.151411897479043","5.3973284784854949E-6","2.3554742287302944E-4","9.4218969149211771E-6",2,50,"13.855730757237026","NA","NA",100,"pbs","yes","NA","automated",248,2023-12-20,"0","0","1",NA,0,6,12,2,2.889,14.75,8261,0,8261,"-","0",NA,"13.86","Batch #9, Negative Control, SALSA, Maxwell, #2","0","344_PPR","344_PPR_9-NCs-Ma-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_NCw_Ma_1","345_PPR_9_NCw_Ma_1_S287_L002","9-NCw-Ma-1","9-NCw-Ma-1","batch_9","9_NCw_Ma_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","molec_cleanroom","mag_beads","pbs_control","no","yes","maxwell","NA",568080,NA,NA,NA,NA,NA,NA,NA,NA,3.28555730900777,3.9434962280427,1.5854607295085,2.54555621937067,"1930","8780.0346138152963","38.5","351.20138455261178","8780.0346138152963","351.20138455261178","0.2161473912174843","0.3743782635121497","30.726477704562381","5.9041439555007903E-5","6.3785116480874794E-3","2.5514046592349916E-4",2,50,"375.20656753455762","NA","NA",100,"pbs","no","NA","automated",249,2023-12-20,"1930","38.5","1",NA,38.5,6,12,2,2.889,14.75,8246,18,8264,"0.46200000000000002","6.4",NA,"375.21","Batch #9, Negative Control Water, Maxwell, #1","1E-4","345_PPR","345_PPR_9-NCw-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_NCw_Ma_2","346_PPR_9_NCw_Ma_2_S288_L002","9-NCw-Ma-2","9-NCw-Ma-2","batch_9","9_NCw_Ma_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","molec_cleanroom","mag_beads","pbs_control","no","yes","maxwell","NA",177836,NA,NA,NA,NA,NA,NA,NA,NA,2.71264970162721,3.83126083245242,1.01283722470517,2.43332082378038,"516","6780.4861382915424","10.3","271.21944553166168","6780.4861382915424","271.21944553166168","0.19483061429098383","0.33745652282183897","31.129460861189596","3.9309958077661388E-5","4.9258814703003317E-3","1.9703525881201327E-4",2,50,"289.75773354707832","NA","NA",100,"pbs","no","NA","automated",250,2023-12-20,"516","10.3","1",NA,10.3,6,12,2,2.889,14.75,5137,3,5140,"1.0640000000000001","1.7",NA,"289.76","Batch #9, Negative Control Water, Maxwell, #2","1E-4","346_PPR","346_PPR_9-NCw-Ma-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_PCc_900_Ma_1","347_PPR_9_PCc_900_Ma_1_S289_L002","9-PCc-900-Ma-1","9-PCc-900-Ma-1","batch_9","9_PCc_900_Ma_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","molec_cleanroom","mag_beads","positive_control","no","yes","maxwell","atcc",28221508,NA,NA,NA,NA,NA,NA,NA,NA,6.96801571399364,6.95510798837229,5.26917658601194,5.55716797970025,"9290000","9017953.4332122784","185856","360718.13732849108","9017953.4332122784","360718.13732849108","6.8747482553646128E-2","0.11907413267537008","19.723091608579846","2.0118635915906367E-2","6.5513546979810409","0.26205418791924162",2,50,"385373.80576359062","2000000","NA",100,"pbs","no","2.00E+6","automated",251,2023-12-20,"9290000","185856","20",NA,9292.8,6,12,2,2.889,14.75,4883,3378,8261,"3.4000000000000002E-2","1548.8",NA,"385373.81","Batch #9, Positive Control, Maxwell, Removed 900¬µL, #1","0.13100000000000001","347_PPR","347_PPR_9-PCc-900-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_PCc_995_Ma_1","348_PPR_9_PCc_995_Ma_1_S290_L002","9-PCc-995-Ma-1","9-PCc-995-Ma-1","batch_9","9_PCc_995_Ma_1","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","molec_cleanroom","mag_beads","positive_control","no","yes","maxwell","atcc",10799726,NA,NA,NA,NA,NA,NA,NA,NA,6.10720996964787,6.62664773108086,4.40857912540867,5.22870772240882,"1280000","4232994.7621167507","25620","169319.79048467","4232994.7621167507","169319.79048467","8.1799252594863481E-2","0.14168046151546387","20.92153422263409","1.1029935178449654E-2","3.0751822269550542","0.12300728907820216",2,50,"180893.07217382672","2000000","NA",100,"pbs","no","2.00E+6","automated",252,2023-12-20,"1280000","25620","10",NA,2562,6,12,2,2.889,14.75,7141,1114,8255,"5.8999999999999997E-2","427",NA,"180893.07","Batch #9, Positive Control, Maxwell, Removed 995¬µL, #1","6.1499999999999999E-2","348_PPR","348_PPR_9-PCc-995-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_PCp_Ma_1","349_PPR_9_PCp_Ma_1_S291_L002","9-PCp-Ma-1","9-PCp-Ma-1","batch_9","9_PCp_Ma_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"NA","molec_cleanroom","mag_beads","positive_control","no","yes","maxwell","atcc",54213908,"gray1",NA,NA,NA,NA,NA,NA,NA,7.95230800966212,7.97480533039428,6.25342282018467,6.57686532172224,"89600000","94363780.212011382","1792350","3774551.2084804559","94363780.212011382","3774551.2084804559","6.7295818061020266E-2","0.11655977601859839","16.006114979322781","0.20047934438875883","68.553314162656847","2.7421325665062741",2,50,"4032547.8919209908","2000000","NA",100,"pbs","yes","2.00E+6","automated",253,2023-12-20,"89600000","1792350","250",NA,7169.4,6,12,2,2.889,14.75,5437,2720,8157,"3.7999999999999999E-2","1194.9000000000001",NA,"4032547.89","Batch #9, Positive Control, SALSA, Maxwell, #1","1.3711","349_PPR","349_PPR_9-PCp-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"9_PCp_Ma_2","350_PPR_9_PCp_Ma_2_S292_L002","9-PCp-Ma-2","9-PCp-Ma-2","batch_9","9_PCp_Ma_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","Polyester Wipe",NA,"NA","molec_cleanroom","mag_beads","positive_control","no","yes","maxwell","atcc",33165700,"gray1",NA,NA,NA,NA,NA,NA,NA,7.77085201164214,7.87764479394066,6.07155800584643,6.47970478526863,"59000000","75447489.612911493","1179120","3017899.5845164596","75447489.612911493","3017899.5845164596","2.0992786233068803E-2","3.6360572348107627E-2","16.357694918400863","5.0020879669776946E-2","54.811024384537674","2.1924409753815071",2,50,"3224177.9049728042","2000000","NA",100,"pbs","yes","2.00E+6","automated",254,2023-12-20,"59000000","1179120","200",NA,5895.6,6,12,2,2.889,14.75,5895,2334,8229,"4.1000000000000002E-2","982.6",NA,"3224177.91","Batch #9, Positive Control, SALSA, Maxwell, #2","1.0962000000000001","350_PPR","350_PPR_9-PCp-Ma-2","PPR","Merged_Genus_raw_abund.csv","PPR"
